timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/29 18:47:39.140, 0 %, 0 %, 0 MiB, 46068 MiB, 32.25 W
2026/03/29 18:47:49.141, 0 %, 0 %, 1 MiB, 46068 MiB, 31.93 W
2026/03/29 18:47:59.161, 0 %, 0 %, 3 MiB, 46068 MiB, 31.90 W
2026/03/29 18:48:09.162, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 18:48:19.163, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 18:48:29.164, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/03/29 18:48:39.165, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 18:48:49.166, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 18:48:59.167, 0 %, 0 %, 3 MiB, 46068 MiB, 31.94 W
2026/03/29 18:49:09.168, 0 %, 0 %, 3 MiB, 46068 MiB, 31.99 W
2026/03/29 18:49:19.169, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 18:49:29.170, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 18:49:39.171, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 18:49:49.172, 0 %, 0 %, 3 MiB, 46068 MiB, 31.98 W
2026/03/29 18:49:59.173, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 18:50:09.174, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 18:50:19.174, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 18:50:29.175, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 18:50:39.176, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 18:50:49.177, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
